index,Order ID,Date,Status,Fulfilment,Sales Channel ,ship-service-level,Style,SKU,Category,Size,ASIN,Courier Status,Qty,currency,Amount,ship-city,ship-state,ship-postal-code,ship-country,promotion-ids,B2B,fulfilled-by,Unnamed: 22
80,408-4069830-3819562,04-30-22,Shipped,Amazon,Amazon.in,Expedited,SET394,SET394-KR-NP-XXXL,Set,3XL,B09TH6R8K4,Shipped,1,INR,1281.0,Kolkata,WEST BENGAL,700048.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,
81,408-4069830-3819562,04-30-22,Shipped,Amazon,Amazon.in,Expedited,SET397,SET397-KR-NP-XXXL,Set,3XL,B09RKDPH6J,Shipped,1,INR,1186.0,Kolkata,WEST BENGAL,700048.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,
82,171-7367545-7081126,04-30-22,Shipped,Amazon,Amazon.in,Expedited,MEN5002,MEN5002-KR-XXL,kurta,XXL,B08YZ1HZ7B,Shipped,1,INR,499.0,HYDERABAD,TELANGANA,502032.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,
83,404-6522553-9345930,04-30-22,Cancelled,Merchant,Amazon.in,Standard,SET377,SET377-KR-NP-M,Set,M,B09TZV23QS,,0,INR,1105.36,DEHRADUN,UTTARAKHAND,248001.0,IN,,False,Easy Ship,
84,403-9950518-0349133,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3510,JNE3510-KR-M,kurta,M,B08WPR5MCB,Cancelled,0,,,HYDERABAD,TELANGANA,500072.0,IN,,False,,
85,407-6599093-6553153,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,BTM038,BTM038-PP-XXXL,Bottom,3XL,B08KR9JYNQ,Shipped,1,INR,377.0,KOLKATA,WEST BENGAL,700078.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2,Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4,Amazon PLCC Free-Financing Universal Merchant AAT-R7GXNZWISTRFA,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-ETXQ3XXWMRXBG,Amazon PLCC Free-Financing Universal Merchant AAT-7X3XCTYG64VBE,Amazon PLCC Free-Financing Universal Merchant AAT-7CHGD3WTS3MHM,Amazon PLCC Free-Financing Universal Merchant AAT-26ZDKNME27X42,Amazon PLCC Free-Financing Universal Merchant AAT-4ZF5KN6E4LJK4,Amazon PLCC Free-Financing Universal Merchant AAT-7RCXIKUAX7DDY,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4",False,Easy Ship,
86,403-3763475-2237125,04-30-22,Shipped,Amazon,Amazon.in,Expedited,J0343,J0343-DR-M,Western Dress,M,B0982ZJ666,Shipped,1,INR,744.0,DHARMAPURI,TAMIL NADU,636705.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,
87,405-1492294-0323520,04-30-22,Shipped,Amazon,Amazon.in,Expedited,J0341,J0341-DR-XL,Western Dress,XL,B099NQJZPQ,Shipped,1,INR,744.0,DEHRADUN,UTTARAKHAND,248005.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,
88,403-1162895-2484367,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0295,J0295-DR-XXL,Western Dress,XXL,B099NSGTJ9,Shipped,1,INR,859.0,JAIPUR,RAJASTHAN,303905.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2,Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-ZYL5UPUNW6T62,Amazon PLCC Free-Financing Universal Merchant AAT-ETXQ3XXWMRXBG,Amazon PLCC Free-Financing Universal Merchant AAT-7X3XCTYG64VBE,Amazon PLCC Free-Financing Universal Merchant AAT-7CHGD3WTS3MHM,Amazon PLCC Free-Financing Universal Merchant AAT-26ZDKNME27X42,Amazon PLCC Free-Financing Universal Merchant AAT-4ZF5KN6E4LJK4,Amazon PLCC Free-Financing Universal Merchant AAT-7RCXIKUAX7DDY,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4",False,Easy Ship,
89,171-6833843-5473114,04-30-22,Shipped,Amazon,Amazon.in,Expedited,JNE3560,JNE3560-KR-M,kurta,M,B08PCVMF6R,Shipped,1,INR,487.0,VADODARA,Gujarat,390019.0,IN,,False,,
90,403-1477057-8253913,04-30-22,Shipped,Amazon,Amazon.in,Expedited,J0333,J0333-DR-XXXL,Western Dress,3XL,B0983121HP,Shipped,1,INR,825.0,CHAVAKKAD,KERALA,680506.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,
91,408-2114413-6089906,04-30-22,Shipped,Amazon,Amazon.in,Expedited,SET389,SET389-KR-NP-M,Set,M,B09KXTTVB5,Shipped,1,INR,680.0,PATNA,BIHAR,800026.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,
92,405-1879750-2639521,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3801,JNE3801-KR-XXXL,kurta,3XL,B09SDYSR1F,Shipped,1,INR,725.0,CHENNAI,TAMIL NADU,600028.0,IN,"Amazon PLCC Free-Financing Universal Merchant AAT-WNKTBO3K27EJC,Amazon PLCC Free-Financing Universal Merchant AAT-QX3UCCJESKPA2,Amazon PLCC Free-Financing Universal Merchant AAT-5QQ7BIYYQEDN2,Amazon PLCC Free-Financing Universal Merchant AAT-DSJ2QRXXWXVMQ,Amazon PLCC Free-Financing Universal Merchant AAT-CXJHMC2YJUK76,Amazon PLCC Free-Financing Universal Merchant AAT-SL3Y2YRMAUNFC,Amazon PLCC Free-Financing Universal Merchant AAT-CC4FAVTYR4X7C,Amazon PLCC Free-Financing Universal Merchant AAT-XXRCW6NZEPZI4,Amazon PLCC Free-Financing Universal Merchant AAT-EOKPWFWYW7Y6I,Amazon PLCC Free-Financing Universal Merchant AAT-ZYL5UPUNW6T62,Amazon PLCC Free-Financing Universal Merchant AAT-ETXQ3XXWMRXBG,Amazon PLCC Free-Financing Universal Merchant AAT-7X3XCTYG64VBE,Amazon PLCC Free-Financing Universal Merchant AAT-7CHGD3WTS3MHM,Amazon PLCC Free-Financing Universal Merchant AAT-26ZDKNME27X42,Amazon PLCC Free-Financing Universal Merchant AAT-4ZF5KN6E4LJK4,Amazon PLCC Free-Financing Universal Merchant AAT-7RCXIKUAX7DDY,Amazon PLCC Free-Financing Universal Merchant AAT-TNYBHEAO7HOHO,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4,Amazon PLCC Free-Financing Universal Merchant AAT-QMFZ3M7T5NPDS,Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1601980554292",False,Easy Ship,
93,406-5727754-5302723,04-30-22,Shipped,Amazon,Amazon.in,Expedited,SET098,SET098-KR-PP-M,Set,M,B07X3K4L82,Shipped,1,INR,696.0,VADODARA,Gujarat,390018.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,
94,405-0901744-8270705,04-30-22,Shipped,Amazon,Amazon.in,Expedited,MEN5013,MEN5013-KR-L,kurta,L,B08YYR9G96,Shipped,1,INR,499.0,VADODARA,Gujarat,390003.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,
95,405-9112089-3379536,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3405,JNE3405-KR-L,kurta,L,B081WSCKPQ,Cancelled,0,,,PUNE,MAHARASHTRA,411046.0,IN,,False,,
96,408-6357132-2310703,04-30-22,Shipped,Amazon,Amazon.in,Expedited,J0003,J0003-SET-L,Set,L,B0894Y4PNG,Shipped,1,INR,696.0,Jammu,JAMMU & KASHMIR,180011.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,
97,406-5334922-9670748,04-30-22,Shipped,Amazon,Amazon.in,Expedited,JNE3718,JNE3718-KR-XXXL,kurta,3XL,B099NJ1WVX,Shipped,1,INR,406.0,bangalore,KARNATAKA,560026.0,IN,,False,,
98,402-8519791-3706738,04-30-22,Shipped,Amazon,Amazon.in,Expedited,SET347,SET347-KR-NP-S,Set,S,B09RKDJ9SQ,Shipped,1,INR,852.0,NEW DELHI,DELHI,110036.0,IN,IN Core Free Shipping 2015/04/08 23-48-5-108,False,,
99,408-1830318-0357940,04-30-22,Shipped,Amazon,Amazon.in,Expedited,JNE3405,JNE3405-KR-XXL,kurta,XXL,B081WSL2JS,Shipped,1,INR,399.0,NARNAUND,HARYANA,125039.0,IN,,False,,
